Paradigm,Class,Lemma,Stem,PersPoss,Dim,Poss,Pej,Pret,Basic,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source
NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,NONE,NONE,Loc,ninaaning,n<<naan>>ing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,NONE,NONE,Loc,ninaaninaang,n<<naan>>inaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,NONE,NONE,Loc,ginaaninaang,g<<naan>>inaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,NONE,NONE,Loc,ginaaning,g<<naan>>ing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,NONE,NONE,Loc,ginaaniwaang,g<<naan>>iwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,NONE,NONE,NONE,Loc,onaaning,w<<naan>>ing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,NONE,NONE,NONE,Loc,onaaniwaang,w<<naan>>iwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,NONE,NONE,NONE,Loc,onaanining,w<<naan>>ining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,NONE,NONE,NONE,Loc,onaanining,w<<naan>>ining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,NONE,NONE,Loc,ninaanensing,n<<naan>>ensing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,Dim,NONE,NONE,NONE,Loc,ninaanensinaang,n<<naan>>ensinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,Dim,NONE,NONE,NONE,Loc,ginaanensinaang,g<<naan>>ensinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,Dim,NONE,NONE,NONE,Loc,ginaanensing,g<<naan>>ensing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,Dim,NONE,NONE,NONE,Loc,ginaanensiwaang,g<<naan>>ensiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,Dim,NONE,NONE,NONE,Loc,onaanensing,w<<naan>>ensing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,Dim,NONE,NONE,NONE,Loc,onaanensiwaang,w<<naan>>ensiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,Dim,NONE,NONE,NONE,Loc,onaanensining,w<<naan>>ensining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,Dim,NONE,NONE,NONE,Loc,onaanensining,w<<naan>>ensining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,NONE,NONE,Pej,NONE,Loc,ninaanishing,n<<naan>>ishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,ExclPoss,NONE,NONE,Pej,NONE,Loc,ninaanishinaang,n<<naan>>ishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,InclPoss,NONE,NONE,Pej,NONE,Loc,ginaanishinaang,g<<naan>>ishinaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2SgPoss,NONE,NONE,Pej,NONE,Loc,ginaanishing,g<<naan>>ishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,2PlPoss,NONE,NONE,Pej,NONE,Loc,ginaanishiwaang,g<<naan>>ishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgProxPoss,NONE,NONE,Pej,NONE,Loc,onaanishing,w<<naan>>ishing,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlProxPoss,NONE,NONE,Pej,NONE,Loc,onaanishiwaang,w<<naan>>ishiwaang,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3SgObvPoss,NONE,NONE,Pej,NONE,Loc,onaanishining,w<<naan>>ishining,JDN-2010-Nouns,,,
NAD,NAD_C,naan,naan,3PlObvPoss,NONE,NONE,Pej,NONE,Loc,onaanishining,w<<naan>>ishining,GUESS,,,
NAD,NAD_C,naan,naan,1SgPoss,Dim,NONE,Pej,NONE,Loc,ninaanenzhishing,n<<naan>>enzhishing,JDN-2010-Nouns,,,
